City,State,ID,Population of City,Count
Gadsden,AL,2,36455,1
Gainesville,AL,2,171,1
Gallant,AL,2,742,1
Gantt,AL,2,180,1
Garden City,AL,2,374,1
Gardendale,AL,2,13763,1
Gaylesville,AL,2,187,1
Geiger,AL,2,262,1
Geneva,AL,2,4469,1
Georgiana,AL,2,1710,1
Geraldine,AL,2,883,1
Gilbertown,AL,2,191,1
Glen Allen,AL,2,513,1
Glencoe,AL,2,5139,1
Glenwood,AL,2,228,1
Goldville,AL,2,43,1
Good Hope,AL,2,2232,1
Goodwater,AL,2,1537,1
Gordo,AL,2,1680,1
Gordon,AL,2,275,1
Gordonville,AL,2,278,1
Goshen,AL,2,356,1
Graham,AL,2,332,1
Grand Bay,AL,2,3501,1
Grant,AL,2,956,1
Grayson Valley,AL,2,5160,1
Graysville,AL,2,2149,1
Greensboro,AL,2,2485,1
Greenville,AL,2,7912,1
Grimes,AL,2,570,1
Grove Hill,AL,2,1716,1
Guin,AL,2,2351,1
Gulfcrest,AL,2,207,1
Gulf Shores,AL,2,10703,1
Guntersville,AL,2,8326,1
Gurley,AL,2,691,1
Gu-Win,AL,2,126,1
Hackleburg,AL,2,1444,1
Hackneyville,AL,2,381,1
Haleburg,AL,2,96,1
Haleyville,AL,2,4068,1
Hamilton,AL,2,6814,1
Hammondville,AL,2,587,1
Hanceville,AL,2,3195,1
Harpersville,AL,2,1711,1
Hartford,AL,2,2645,1
Hartselle,AL,2,14455,1
Harvest,AL,2,5226,1
Hatton,AL,2,144,1
Hayden,AL,2,1186,1
Hayneville,AL,2,984,1
Hazel Green,AL,2,3266,1
Headland,AL,2,4685,1
Heath,AL,2,338,1
Heflin,AL,2,3504,1
Helena,AL,2,17589,1
Henagar,AL,2,2253,1
Highland Lake,AL,2,393,1
Highland Lakes,AL,2,4864,1
Hillsboro,AL,2,562,1
Hissop,AL,2,772,1
Hobson,AL,2,77,1
Hobson City,AL,2,998,1
Hodges,AL,2,308,1
Hokes Bluff,AL,2,4314,1
Hollins,AL,2,930,1
Hollis Crossroads,AL,2,714,1
Holly Pond,AL,2,1084,1
Hollywood,AL,2,971,1
Holt,AL,2,3652,1
Holtville,AL,2,4263,1
Homewood,AL,2,25535,1
Hoover,AL,2,83547,1
Horn Hill,AL,2,254,1
Hueytown,AL,2,15894,1
Huguley,AL,2,2373,1
Huntsville,AL,2,185594,1
Hurtsboro,AL,2,487,1
Hytop,AL,2,422,1
Ider,AL,2,887,1
Indian Springs Village,AL,2,2505,1
Irondale,AL,2,12398,1
Ivalee,AL,2,690,1
Jackson,AL,2,5055,1
Jacksons' Gap,AL,2,932,1
Jacksonville,AL,2,12372,1
Jasper,AL,2,14186,1
Jemison,AL,2,2627,1
Joppa,AL,2,263,1
Kansas,AL,2,186,1
Kellyton,AL,2,248,1
Kennedy,AL,2,412,1
Killen,AL,2,1177,1
Kimberly,AL,2,2799,1
Kinsey,AL,2,2275,1
Kinston,AL,2,563,1
Ladonia,AL,2,2840,1
La Fayette,AL,2,2989,1
Lakeview,AL,2,133,1
Lake View,AL,2,2417,1
Lanett,AL,2,6457,1
Langston,AL,2,211,1
Leeds,AL,2,11881,1
Leesburg,AL,2,1055,1
Leighton,AL,2,859,1
Leroy,AL,2,779,1
Lester,AL,2,143,1
Level Plains,AL,2,2181,1
Lexington,AL,2,667,1
Libertyville,AL,2,146,1
Lillian,AL,2,1256,1
Lincoln,AL,2,6391,1
Linden,AL,2,2123,1
Lineville,AL,2,2549,1
Lipscomb,AL,2,2275,1
Lisman,AL,2,613,1
Littleville,AL,2,1029,1
Livingston,AL,2,3466,1
Loachapoka,AL,2,217,1
Lockhart,AL,2,443,1
Locust Fork,AL,2,1441,1
Lookout Mountain,AL,2,1152,1
Louisville,AL,2,440,1
Lowndesboro,AL,2,118,1
Loxley,AL,2,1886,1
Luverne,AL,2,2825,1
Lynn,AL,2,563,1
McDonald Chapel,AL,2,530,1
Macedonia,AL,2,165,1
McIntosh,AL,2,422,1
McKenzie,AL,2,551,1
McMullen,AL,2,5,1
Madison,AL,2,45590,1
Madrid,AL,2,355,1
Magnolia Springs,AL,2,752,1
Malcolm,AL,2,168,1
Malvern,AL,2,1816,1
Maplesville,AL,2,815,1
Marbury,AL,2,1419,1
Margaret,AL,2,4487,1
Marion,AL,2,3551,1
Maytown,AL,2,359,1
Meadowbrook,AL,2,8752,1
Megargel,AL,2,64,1
Memphis,AL,2,38,1
Mentone,AL,2,390,1
Meridianville,AL,2,6270,1
Midfield,AL,2,5284,1
Midland City,AL,2,2151,1
Midway,AL,2,583,1
Mignon,AL,2,1088,1
Millbrook,AL,2,14983,1
Millerville,AL,2,216,1
Millport,AL,2,1070,1
Millry,AL,2,565,1
Minor,AL,2,1334,1
Mobile,AL,2,194669,1
Monroeville,AL,2,6265,1
Montevallo,AL,2,6549,1
Montgomery,AL,2,202967,1
Moody,AL,2,12292,1
Moores Mill,AL,2,6591,1
Mooresville,AL,2,78,1
Morris,AL,2,1737,1
Morrison Crossroads,AL,2,190,1
Mosses,AL,2,1036,1
Moulton,AL,2,3386,1
Moundville,AL,2,2183,1
Mountain Brook,AL,2,20518,1
Mount Olive CDP (Coosa County),AL,2,300,1
Mount Olive CDP (Jefferson County),AL,2,4100,1
Mount Vernon,AL,2,1482,1
Movico,AL,2,170,1
Mulga,AL,2,922,1
Munford,AL,2,1443,1
Muscle Shoals,AL,2,13492,1
Myrtlewood,AL,2,157,1
Nanafalia,AL,2,64,1
Nances Creek,AL,2,292,1
Napier Field,AL,2,414,1
Natural Bridge,AL,2,43,1
Nauvoo,AL,2,171,1
Nectar,AL,2,281,1
Needham,AL,2,108,1
